Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,17,4.12311,12.8769,21.1231
3,5,8,2.82843,5.17157,10.8284
4,7,7,2.64575,4.35425,9.64575
5,9,8,2.82843,5.17157,10.8284
6,11,8,2.82843,5.17157,10.8284
7,13,7,2.64575,4.35425,9.64575
8,15,10,3.16228,6.83772,13.1623
9,17,6,2.44949,3.55051,8.44949
10,19,3,1.73205,1.26795,4.73205
11,21,10,3.16228,6.83772,13.1623
12,23,8,2.82843,5.17157,10.8284
13,25,7,2.64575,4.35425,9.64575
14,27,5,2.23607,2.76393,7.23607
15,29,4,2,2,6
16,31,4,2,2,6
17,33,3,1.73205,1.26795,4.73205
18,35,0,0,0,0
19,37,8,2.82843,5.17157,10.8284
20,39,4,2,2,6
21,41,1,1,0,2
22,43,3,1.73205,1.26795,4.73205
23,45,6,2.44949,3.55051,8.44949
24,47,0,0,0,0
25,49,4,2,2,6
26,51,1,1,0,2
27,53,2,1.41421,0.585786,3.41421
28,55,2,1.41421,0.585786,3.41421
29,57,1,1,0,2
30,59,0,0,0,0
31,61,2,1.41421,0.585786,3.41421
32,63,3,1.73205,1.26795,4.73205
33,65,2,1.41421,0.585786,3.41421
34,67,0,0,0,0
35,69,0,0,0,0
36,71,0,0,0,0
37,73,1,1,0,2
38,75,3,1.73205,1.26795,4.73205
39,77,4,2,2,6
40,79,0,0,0,0
41,81,1,1,0,2
42,83,1,1,0,2
43,85,2,1.41421,0.585786,3.41421
44,87,2,1.41421,0.585786,3.41421
45,89,1,1,0,2
46,91,1,1,0,2
47,93,0,0,0,0
48,95,0,0,0,0
49,97,1,1,0,2
50,99,0,0,0,0
