histogram,entries,mean,std_dev
reco_mult_prim_total,1767.00,2.17,1.19
reco_mult_prim_shower,670.00,2.34,1.69
reco_mult_muon,1695.00,1.42,0.72
reco_mult_pion,338.00,1.12,0.36
reco_mult_proton,702.00,1.26,0.57
reco_mult_kaon,145.00,1.19,0.47
reco_length_prim_muon,2478.00,47.13,27.30
reco_length_prim_pion,395.00,28.80,20.79
reco_length_prim_proton,899.00,20.68,19.62
reco_length_prim_kaon,176.00,29.15,23.70
reco_energy_prim_muon,2478.00,0.22,0.11
reco_energy_prim_pion,395.00,0.11,0.07
reco_energy_prim_proton,899.00,0.16,0.10
reco_energy_prim_kaon,176.00,0.17,0.10
reco_cosTheta_prim_muon,2478.00,0.88,0.29
reco_cosTheta_prim_pion,395.00,0.64,0.47
reco_cosTheta_prim_proton,899.00,0.50,0.49
reco_cosTheta_prim_kaon,176.00,0.71,0.43
reco_start_x_muon,2478.00,-0.59,35.21
reco_start_y_muon,2478.00,-0.66,32.81
reco_start_z_muon,2478.00,0.54,34.81
reco_start_x_pion,395.00,-2.76,35.13
reco_start_y_pion,395.00,0.14,32.75
reco_start_z_pion,395.00,-3.34,34.27
reco_start_x_proton,899.00,1.21,35.44
reco_start_y_proton,899.00,-2.23,32.85
reco_start_z_proton,899.00,-4.79,33.67
reco_start_x_kaon,176.00,-10.83,33.64
reco_start_y_kaon,176.00,1.29,33.84
reco_start_z_kaon,176.00,-5.31,35.18
reco_nu_vtx_x_CC_LArFV,1767.00,-0.89,35.09
reco_nu_vtx_y_CC_LArFV,1767.00,0.55,32.56
reco_nu_vtx_z_CC_LArFV,1767.00,-2.17,34.16
true_nu_vtx_x_CC_LArFV,13278.00,-0.62,35.66
true_nu_vtx_y_CC_LArFV,13278.00,-0.80,32.70
true_nu_vtx_z_CC_LArFV,13278.00,-0.25,35.65
