Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,2,1.41421,0.585786,3.41421
5,-57.4,4,2,2,6
6,-54.6,5,2.23607,2.76393,7.23607
7,-51.8,2,1.41421,0.585786,3.41421
8,-49,9,3,6,12
9,-46.2,5,2.23607,2.76393,7.23607
10,-43.4,6,2.44949,3.55051,8.44949
11,-40.6,9,3,6,12
12,-37.8,3,1.73205,1.26795,4.73205
13,-35,5,2.23607,2.76393,7.23607
14,-32.2,8,2.82843,5.17157,10.8284
15,-29.4,8,2.82843,5.17157,10.8284
16,-26.6,4,2,2,6
17,-23.8,4,2,2,6
18,-21,3,1.73205,1.26795,4.73205
19,-18.2,4,2,2,6
20,-15.4,9,3,6,12
21,-12.6,3,1.73205,1.26795,4.73205
22,-9.8,4,2,2,6
23,-7,2,1.41421,0.585786,3.41421
24,-4.2,1,1,0,2
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,4,2,2,6
28,7,6,2.44949,3.55051,8.44949
29,9.8,1,1,0,2
30,12.6,4,2,2,6
31,15.4,4,2,2,6
32,18.2,10,3.16228,6.83772,13.1623
33,21,6,2.44949,3.55051,8.44949
34,23.8,8,2.82843,5.17157,10.8284
35,26.6,5,2.23607,2.76393,7.23607
36,29.4,6,2.44949,3.55051,8.44949
37,32.2,2,1.41421,0.585786,3.41421
38,35,3,1.73205,1.26795,4.73205
39,37.8,3,1.73205,1.26795,4.73205
40,40.6,2,1.41421,0.585786,3.41421
41,43.4,4,2,2,6
42,46.2,3,1.73205,1.26795,4.73205
43,49,3,1.73205,1.26795,4.73205
44,51.8,2,1.41421,0.585786,3.41421
45,54.6,2,1.41421,0.585786,3.41421
46,57.4,3,1.73205,1.26795,4.73205
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
